"#{""t_start"": 1671801145.2687807"," ""env_id"": ""TruckTrailer-v1""}",
r,l,t
975.868433,14691,33159.33959
975.877249,14578,33273.2148
975.836218,14573,33386.83941
965.821176,14533,33501.52893
955.833946,14633,33615.92984
965.846688,14571,33730.75125
945.853752,14581,33845.10459
965.84706,14560,33959.21478
965.82546,14566,34077.23775
965.861822,14545,34191.51847
935.865573,14670,34307.24354
995.869812,14592,34421.52319
985.803354,14634,34536.2216
965.803067,14654,34651.32658
995.867116,14647,34765.64343
985.865929,14779,34885.05518
965.854495,14815,35000.41263
965.837912,14723,35115.42093
975.824148,14747,35231.25626
925.391489,14777,35346.55366
924.277109,14796,35466.20946
945.534334,14873,35582.05047
925.801786,14827,35698.43871
955.84263,14788,35814.34115
965.801227,14684,35933.40984
925.667165,14767,36049.11482
915.815512,14810,36164.51224
945.350598,14819,36280.20097
945.81487,14751,36395.55288
975.743241,14771,36515.11958
975.800511,14653,36629.74223
965.87026,14587,36744.00126
965.804811,14624,36858.74186
965.815728,14651,36973.21659
945.847952,14592,37087.62532
955.819334,14701,37207.24563
955.845018,14616,37321.62076
975.83621,14641,37436.03813
935.861809,14606,37550.7394
975.840408,14655,37666.12721
975.866462,14569,37781.52897
965.822277,14548,37895.73141
965.874899,14545,38009.74988
925.855296,14625,38129.10457
925.799922,14635,38243.4203
925.867565,14607,38358.23138
915.851917,14830,38474.14735
955.805956,14715,38589.75602
945.849899,14690,38704.94101
935.857758,14694,38824.53896
945.843387,14630,38939.72117
965.853057,14598,39053.73925
945.823746,14664,39168.63043
965.818099,14694,39284.3249
935.823274,14677,39397.52092
945.858995,14601,39516.13806
945.809831,14689,39630.89982
965.811951,14547,39745.80919
955.856433,14561,39860.25446
965.82082,14561,39973.84398
985.831712,14662,40088.74712
935.854131,14669,40202.79816
955.847176,14641,40322.19912
975.829997,14607,40436.95374
955.799994,14567,40551.14953
935.881651,14661,40667.62786
915.82968,14581,40782.95079
925.828708,14627,40898.23271
